time_period,employed_ft,employed_pt,employed_persons,unemployed_ft_work,unemployed_pt_work,unemployed_persons,labour_force,not_in_labour_force,civ_popln,political_party
12-2023,1249814.7315399998,852962.50234,2102777.23388,41608.4569,31262.48009,72870.93699,2175648.17087,1330437.82951,3506086.00037,Labor - Chris Minns
01-2024,1209114.1094,838659.32782,2047773.43722,56140.62363,31550.58168,87691.20531,2135464.6425199998,1377756.35788,3513221.0004,Labor - Chris Minns
02-2024,1264855.3285,840375.78528,2105231.1137800002,51555.8159,35089.24934,86645.06524,2191876.17902,1328467.82136,3520344.00038,Labor - Chris Minns
03-2024,1246608.7557400002,855610.26688,2102219.02263,53392.38425,33477.93515,86870.3194,2189089.34202,1338389.65836,3527479.00038,Labor - Chris Minns
04-2024,1250640.98437,851844.10764,2102485.0920200003,45525.41218,36022.23655,81547.64873,2184032.74075,1346818.25964,3530851.00039,Labor - Chris Minns
05-2024,1260177.93992,865039.68093,2125217.62085,51675.85828,26601.32577,78277.18406,2203494.80491,1330746.1955000001,3534241.0004,Labor - Chris Minns
06-2024,1269202.95263,849226.61822,2118429.57086,52719.97366,29647.196050000002,82367.16971,2200796.7405600003,1336825.25985,3537622.00041,Labor - Chris Minns
07-2024,1288563.72751,858641.90448,2147205.632,53926.61604,27418.1473,81344.76334,2228550.3953299997,1316014.60506,3544565.0004,Labor - Chris Minns
08-2024,1275047.45278,845875.67689,2120923.12967,53820.07654,31248.21217,85068.28871000001,2205991.4183900002,1345522.58202,3551514.00041,Labor - Chris Minns
09-2024,1265615.41258,870116.849,2135732.2615799997,51031.14544,28821.55308,79852.69852,2215584.9601,1342869.0403099998,3558454.0004000003,Labor - Chris Minns
10-2024,1266633.9440300001,856485.30264,2123119.24668,56234.07980000001,33855.25063,90089.33043,2213208.57711,1351354.42329,3564563.0004,Labor - Chris Minns
11-2024,1300115.8623199998,857658.2138700001,2157774.07619,52106.4962,27974.863859999998,80081.36005999999,2237855.43625,1332838.56415,3570694.0004,Labor - Chris Minns
12-2024,1301109.80485,883036.5972099999,2184146.40207,46219.72818,30336.966809999998,76556.695,2260703.09706,1316095.90334,3576799.0004100003,Labor - Chris Minns
