time_period,employed_ft,employed_pt,employed_persons,unemployed_ft_work,unemployed_pt_work,unemployed_persons,labour_force,not_in_labour_force,civ_popln,political_party
04-2019,1735421.4365400001,440899.19035999995,2176320.62689,72455.66982,23248.826309999997,95704.49613,2272025.1230200003,941937.87681,3213962.99983,LNC - Gladys Berejiklian
05-2019,1762824.8251699999,437139.67922,2199964.5043800003,81599.19850999999,21758.719119999998,103357.91762,2303322.42201,912761.57785,3216083.9998500003,LNC - Gladys Berejiklian
06-2019,1761892.49228,425245.85043,2187138.34271,77104.22685,21174.49075,98278.71761,2285417.06032,932786.9395,3218203.99981,LNC - Gladys Berejiklian
07-2019,1765529.84018,421907.85449,2187437.69467,77332.44778,17767.1898,95099.63758000001,2282537.33225,939284.66757,3221821.99983,LNC - Gladys Berejiklian
08-2019,1758242.0858099998,426741.58457999997,2184983.67039,77086.47739,20187.03029,97273.50768,2282257.17807,943185.82179,3225442.99985,LNC - Gladys Berejiklian
09-2019,1771279.0314500001,406158.84682000004,2177437.87827,76975.28939,21999.525510000003,98974.8149,2276412.69317,952650.30666,3229062.99983,LNC - Gladys Berejiklian
10-2019,1748093.64776,407098.17326,2155191.82102,76145.46883,30698.252650000002,106843.72147,2262035.5425,969519.4573799999,3231554.99988,LNC - Gladys Berejiklian
11-2019,1760718.4454400002,395589.86996,2156308.31539,76826.40018,25438.88148,102265.28166,2258573.59706,975483.40279,3234056.99985,LNC - Gladys Berejiklian
12-2019,1771815.3838799999,410219.39365,2182034.77753,81524.07169,24046.17039,105570.24209,2287605.01962,948941.98025,3236546.99987,LNC - Gladys Berejiklian
01-2020,1737843.47065,387086.20268,2124929.67332,89549.31016000001,25506.691329999998,115056.00148,2239985.67481,1000024.32503,3240009.99984,LNC - Gladys Berejiklian
02-2020,1775595.24441,391383.22683,2166978.4712300003,88752.35259,22409.90239,111162.25498999999,2278140.72622,965317.27362,3243457.99983,LNC - Gladys Berejiklian
03-2020,1756702.06656,392674.40533000004,2149376.47189,94272.28388999999,29264.481929999998,123536.76582,2272913.23771,974006.76211,3246919.99982,LNC - Gladys Berejiklian
04-2020,1716073.0022099998,348394.4362,2064467.43841,112400.85960000001,24553.66748,136954.52709,2201421.9655000004,1045480.03433,3246901.99983,LNC - Gladys Berejiklian
05-2020,1687058.31797,353699.95720999996,2040758.27518,111750.16834,22457.845670000002,134208.01401,2174966.2892,1071906.71064,3246872.99983,LNC - Gladys Berejiklian
06-2020,1691424.6455299999,378497.0281,2069921.67363,118630.86454000001,27831.75837,146462.62291,2216384.29654,1030466.70331,3246850.99985,LNC - Gladys Berejiklian
07-2020,1696641.5073600002,391213.92908000003,2087855.4364299998,133842.98927,27840.906759999998,161683.89603,2249539.33246,995703.6673699999,3245242.99983,LNC - Gladys Berejiklian
08-2020,1696916.18133,400107.94672999997,2097024.1280599998,127911.71219,21184.43565,149096.14784,2246120.2759100003,997513.7239399999,3243633.99985,LNC - Gladys Berejiklian
09-2020,1682731.09972,411437.52155999996,2094168.62128,143513.04097,26090.338939999998,169603.37992,2263772.00119,978257.99866,3242029.99985,LNC - Gladys Berejiklian
10-2020,1678984.40617,420542.31788,2099526.7240500003,124825.95105,32779.089929999995,157605.04098000002,2257131.76502,984428.23479,3241559.99981,LNC - Gladys Berejiklian
11-2020,1711678.64203,421319.66242999997,2132998.3044700003,115465.68393,24700.832850000003,140166.51678,2273164.82125,967926.1786,3241090.99986,LNC - Gladys Berejiklian
12-2020,1713946.26539,424857.56179999997,2138803.82719,123120.76393,28902.40488,152023.16880999997,2290826.996,949786.00381,3240612.99981,LNC - Gladys Berejiklian
01-2021,1703288.25686,400598.87450000003,2103887.13136,108832.22213000001,33648.37285,142480.59498,2246367.72634,994012.2735,3240379.99984,LNC - Gladys Berejiklian
02-2021,1725012.38741,420782.99733,2145795.38474,109572.24105,35837.02679,145409.26784000001,2291204.65258,948932.34727,3240136.99985,LNC - Gladys Berejiklian
03-2021,1699721.56104,434854.03193,2134575.59297,98343.16778999999,37389.768840000004,135732.93662,2270308.52959,969588.47026,3239896.99986,LNC - Gladys Berejiklian
04-2021,1707685.89124,427655.80057,2135341.69181,97129.55023000001,35205.33420999999,132334.88445,2267676.57625,972913.42359,3240589.99984,LNC - Gladys Berejiklian
05-2021,1714361.9001,435636.79441,2149998.69451,103899.94400999999,26141.27052,130041.21453,2280039.9090400003,961256.09078,3241295.99982,LNC - Gladys Berejiklian
06-2021,1717750.54033,426500.86958000006,2144251.40991,94109.90574999999,33861.66626,127971.57201,2272222.9819099996,969771.01789,3241993.99981,LNC - Gladys Berejiklian
07-2021,1738829.0905900002,400573.39825,2139402.48883,86289.34616,23096.62944,109385.97559,2248788.46443,991493.5354,3240281.99983,LNC - Gladys Berejiklian
08-2021,1658567.41423,391762.16044,2050329.57467,78782.8674,34309.8478,113092.7152,2163422.28987,1075133.7117400002,3238556.0016099997,LNC - Gladys Berejiklian
09-2021,1670892.25659,371094.49828,2041986.7548699998,69482.50749,26587.432960000002,96069.94045000001,2138056.69533,1098789.3043900002,3236845.9997199997,LNC - Gladys Berejiklian
10-2021,1664440.30549,388660.50476,2053100.81025,78986.46196,35666.426629999994,114652.88859,2167753.69884,1071344.30238,3239098.00122,LNC - Dominic Perrottet
11-2021,1726249.46411,403364.8993,2129614.3634099998,71244.48338,27214.23706,98458.72043999999,2228073.08385,1013282.9192,3241356.00305,LNC - Dominic Perrottet
12-2021,1738734.11644,419275.28903,2158009.40546,70202.66391,24975.347759999997,95178.01167,2253187.41713,990426.58192,3243613.99905,LNC - Dominic Perrottet
01-2022,1718895.1159,388834.30817,2107729.4240699997,78129.67240000001,26527.783939999998,104657.45633999999,2212386.8804099998,1037153.11698,3249539.9973899997,LNC - Dominic Perrottet
02-2022,1766533.3369800001,402337.42117000005,2168870.7581499997,68755.41905,24103.71664,92859.13569,2261729.8938499996,993727.10488,3255456.9987199996,LNC - Dominic Perrottet
03-2022,1757092.38292,409164.11668,2166256.4996,72314.88738999999,26247.035610000003,98561.923,2264818.4225999997,996558.578,3261377.0006,LNC - Dominic Perrottet
04-2022,1759200.90063,414867.08545,2174067.98608,65016.30006000001,17521.76498,82538.06504,2256606.05112,1009809.9495100001,3266416.0006299997,LNC - Dominic Perrottet
05-2022,1796716.99364,409156.97389,2205873.96754,70212.2958,24807.76295,95020.05875000001,2300894.0262800003,970560.97435,3271455.00063,LNC - Dominic Perrottet
06-2022,1818017.35925,397964.85113,2215982.21038,63329.95463,15439.10406,78769.05868999999,2294751.26907,981744.73155,3276496.00062,LNC - Dominic Perrottet
07-2022,1787093.8973,428777.6261,2215871.5234000003,52779.3419,20231.35649,73010.69839,2288882.2217900003,994513.77884,3283396.0006299997,LNC - Dominic Perrottet
08-2022,1816474.90697,401874.66064,2218349.5676100003,55969.2992,21824.76983,77794.06903,2296143.6366399997,994134.3640000001,3290278.0006399998,LNC - Dominic Perrottet
09-2022,1813238.26109,427365.02683,2240603.28792,53351.72531,22354.8612,75706.58651,2316309.87443,980866.1261900001,3297176.00062,LNC - Dominic Perrottet
10-2022,1843001.71394,409631.72823,2252633.4421699997,48394.15906,17474.75007,65868.90913,2318502.35131,985674.6493299999,3304177.0006299997,LNC - Dominic Perrottet
11-2022,1860366.08177,411767.53108000004,2272133.61285,56662.64058,17113.58234,73776.22291,2345909.83577,965285.16486,3311195.0006299997,LNC - Dominic Perrottet
12-2022,1873428.85631,407804.24419,2281233.10049,54330.74363,23430.00657,77760.75020000001,2358993.8506899998,959205.1499399999,3318199.0006299997,LNC - Dominic Perrottet
01-2023,1821767.08978,412810.60334,2234577.69312,63393.90021,26398.96402,89792.86423,2324370.55734,1003000.44325,3327371.0005900003,LNC - Dominic Perrottet
02-2023,1856225.02252,408970.19366,2265195.21618,58198.039209999995,27750.26537,85948.30458,2351143.5207599998,985406.47986,3336550.00062,LNC - Dominic Perrottet
03-2023,1843414.64915,409804.95979,2253219.6089399997,62397.298200000005,20343.8133,82741.1115,2335960.72044,1009759.2802,3345720.0006399998,LNC - Dominic Perrottet
04-2023,1826416.7239,442135.03663,2268551.76053,66632.55455,17968.24027,84600.79483,2353152.55535,999412.4452999999,3352565.00065,Labor - Chris Minns
05-2023,1860276.3467299999,436161.41423,2296437.76096,46257.11125,20818.70318,67075.81442,2363513.57539,995910.42526,3359424.00064,Labor - Chris Minns
06-2023,1862978.21178,442624.70417,2305602.91595,54707.95128,19883.32579,74591.27706,2380194.19302,986084.80766,3366279.00067,Labor - Chris Minns
07-2023,1861526.3748299999,431113.65306,2292640.02789,57952.300200000005,17155.69305,75107.99325000001,2367748.0211400003,1007097.97953,3374846.00067,Labor - Chris Minns
08-2023,1866504.48208,431860.22277,2298364.7048500003,59843.40627,25888.14194,85731.54821,2384096.25305,999326.74763,3383423.00069,Labor - Chris Minns
09-2023,1862625.3033800002,441495.98577,2304121.28915,53427.48094,26153.092839999998,79580.57377,2383701.86292,1008290.13773,3391992.00066,Labor - Chris Minns
10-2023,1848080.66432,459278.60906,2307359.27338,60261.943770000005,19543.16113,79805.1049,2387164.3782800003,1010367.62238,3397532.00067,Labor - Chris Minns
11-2023,1882454.7426500001,462972.96346,2345427.70611,62101.499189999995,22244.504419999997,84346.00361,2429773.70972,973298.29093,3403072.0006500003,Labor - Chris Minns
12-2023,1886942.32482,460000.42803,2346942.75285,61685.23839,19731.47135,81416.70975,2428359.4625999997,980250.53803,3408610.0006299997,Labor - Chris Minns
01-2024,1823681.10274,434857.20754,2258538.31029,85864.03194,27800.77742,113664.80936000001,2372203.1196500002,1043466.88098,3415670.0006299997,Labor - Chris Minns
02-2024,1866884.1549900002,446188.11997,2313072.27496,61073.755900000004,31026.8369,92100.5928,2405172.86776,1017545.13286,3422718.00062,Labor - Chris Minns
03-2024,1859915.82944,450587.83096,2310503.6604000004,62586.558959999995,35892.12545,98478.68441,2408982.34481,1020797.65581,3429780.00062,Labor - Chris Minns
04-2024,1833476.26632,464087.57638,2297563.8427,74946.22038,26331.24366,101277.46403999999,2398841.3067400004,1034285.6939000001,3433127.00064,Labor - Chris Minns
05-2024,1846713.5362500001,467278.06114999996,2313991.5974,66368.73115,27144.05674,93512.78788,2407504.3852899997,1028946.6153599999,3436451.00065,Labor - Chris Minns
06-2024,1831161.23165,482361.85796,2313523.08962,68290.22121,26844.19542,95134.41664,2408657.50625,1031138.49439,3439796.0006500003,Labor - Chris Minns
07-2024,1844616.07479,473746.33495,2318362.40974,70906.36099,29474.250070000002,100380.61104999999,2418743.02079,1028481.9798399999,3447225.00063,Labor - Chris Minns
08-2024,1820289.93917,490768.42147999996,2311058.36065,76665.16350000001,27039.10683,103704.27033,2414762.63098,1039909.3696499999,3454672.00063,Labor - Chris Minns
09-2024,1849163.90929,488991.88348,2338155.79277,64838.602300000006,28310.52545,93149.12775,2431304.92052,1030798.0801000001,3462103.00062,Labor - Chris Minns
10-2024,1830689.1140299998,492673.85051,2323362.96455,63263.06504,27785.905150000002,91048.97019000001,2414411.9347300003,1053255.06589,3467667.00063,Labor - Chris Minns
11-2024,1876667.03845,467757.50989,2344424.54834,63679.206360000004,28990.667640000003,92669.874,2437094.42234,1036125.5782999999,3473220.0006399998,Labor - Chris Minns
12-2024,1897187.01406,479645.1131,2376832.1271599997,66116.63726,26978.53589,93095.17314999999,2469927.3003100003,1008858.70033,3478786.00064,Labor - Chris Minns
